"","x","y","TagId","freq","num_x","num_y","total","unique_nodes","easting","northing","id","total_nodes","avex","avey","zone","letter","date","time_of_day","hour"
"227",-81.3589701437187,27.1992862985056,"61526633",2019-12-11 16:00:00,-1516324.24201968,-9822317.12352132,-3.26479098369939,11,464494.727326752,3008566.72758077,"61526633 2019-12-11 16:00:00",11,464447.57094419,3008559.25312299,17,"R","2019-12-11","16:00:00",16
"228",-81.358564361311,27.1987698662171,"61526633",2019-12-11 16:10:00,-1467711.30140556,-9506415.9448087,-3.15985036620679,20,464580.100068235,3008530.20014538,"61526633 2019-12-11 16:10:00",20,464487.596343829,3008501.93619154,17,"R","2019-12-11","16:10:00",16
"229",-81.3581249981559,27.198873121036,"61526633",2019-12-11 16:20:00,-1746372.76648895,-11310297.8599193,-3.7594309630925,23,464605.304422269,3008469.30447128,"61526633 2019-12-11 16:20:00",23,464531.144110273,3008513.24866874,17,"R","2019-12-11","16:20:00",16
"230",-81.3582304361352,27.1989187961409,"61526633",2019-12-11 16:30:00,-1385992.42042046,-8976528.86138236,-2.98370422046438,22,464585.54554751,3008493.81832702,"61526633 2019-12-11 16:30:00",22,464520.71586531,3008518.33764718,17,"R","2019-12-11","16:30:00",16
"231",-81.3588496514566,27.1983650364811,"61526633",2019-12-11 16:40:00,-2020760.71749856,-13089140.9182498,-4.35078186249368,23,464579.217456489,3008460.60880075,"61526633 2019-12-11 16:40:00",23,464459.212473676,3008457.17664817,17,"R","2019-12-11","16:40:00",16
"232",-81.35854686254,27.1984008295681,"61526633",2019-12-11 16:50:00,-1231561.07133196,-7976726.73668271,-2.6514309441864,23,464553.130488313,3008425.82620709,"61526633 2019-12-11 16:50:00",23,464489.212525905,3008461.05540584,17,"R","2019-12-11","16:50:00",16
"233",-81.3584601707029,27.1990081629455,"61526633",2019-12-11 17:00:00,-1675495.76789776,-10852095.2385499,-3.60711090333534,24,464565.083394893,3008396.83349041,"61526633 2019-12-11 17:00:00",24,464497.990995648,3008528.30128273,17,"R","2019-12-11","17:00:00",17
"234",-81.3580405661202,27.1990150127097,"61526633",2019-12-11 17:10:00,-1646949.18834432,-10666248.5131734,-3.54533684787173,23,464605.304422269,3008469.30447128,"61526633 2019-12-11 17:10:00",23,464539.551251101,3008528.94121369,17,"R","2019-12-11","17:10:00",17
"235",-81.3585473440261,27.1986842796877,"61526633",2019-12-11 17:20:00,-1280805.00530969,-8295761.74649458,-2.75744808412719,22,464585.54554751,3008493.81832702,"61526633 2019-12-11 17:20:00",22,464489.254641799,3008492.45149811,17,"R","2019-12-11","17:20:00",17
"236",-81.3587588341634,27.1989000141308,"61526633",2019-12-11 17:30:00,-862135.199138059,-5584336.89223214,-1.85617631312349,20,464530.100120745,3008440.20020415,"61526633 2019-12-11 17:30:00",20,464468.376760662,3008516.40695439,17,"R","2019-12-11","17:30:00",17
